method,domain,occupation,rank,neighbor,similarity
graph,essential_skills,15-2051.00,1,43-9111.00,0.9310480693459419
graph,essential_skills,15-2051.00,2,13-2099.01,0.9280520474550326
graph,essential_skills,15-2051.00,3,17-1022.00,0.9138130050019238
graph,essential_skills,15-2051.01,1,13-1161.00,0.9408983451536644
graph,essential_skills,15-2051.01,2,13-2071.00,0.9395046691027202
graph,essential_skills,15-2051.01,3,19-3099.01,0.9374034003091191
graph,essential_skills,15-1242.00,1,15-1243.00,0.9456757931334202
graph,essential_skills,15-1242.00,2,15-1241.01,0.9448305821025196
graph,essential_skills,15-1242.00,3,15-1254.00,0.9389279437609843
graph,essential_skills,15-1243.00,1,15-1243.01,0.95483288166215
graph,essential_skills,15-1243.00,2,27-1027.00,0.9494949494949495
graph,essential_skills,15-1243.00,3,15-1242.00,0.9456757931334202
graph,essential_skills,15-1243.01,1,15-1243.00,0.95483288166215
graph,essential_skills,15-1243.01,2,17-3023.00,0.9499999999999997
graph,essential_skills,15-1243.01,3,17-3011.00,0.9380650994575045
graph,essential_skills,15-2031.00,1,15-2041.00,0.9474982381959125
graph,essential_skills,15-2031.00,2,15-2041.01,0.9403448275862069
graph,essential_skills,15-2031.00,3,17-2131.00,0.9388753056234719
graph,essential_skills,15-2041.00,1,15-2041.01,0.9476223294279809
graph,essential_skills,15-2041.00,2,15-2031.00,0.9474982381959125
graph,essential_skills,15-2041.00,3,15-2021.00,0.9298245614035088
graph,essential_skills,15-2051.02,1,11-9021.00,0.9566044918157596
graph,essential_skills,15-2051.02,2,11-3051.02,0.9465795541890853
graph,essential_skills,15-2051.02,3,19-3099.01,0.9436190476190476
graph,transferable_skills,15-2051.00,1,43-9111.00,0.8442596738087623
graph,transferable_skills,15-2051.00,2,15-2099.01,0.8401319736052788
graph,transferable_skills,15-2051.00,3,15-2041.00,0.835778957227599
graph,transferable_skills,15-2051.01,1,19-2021.00,0.8677935405976457
graph,transferable_skills,15-2051.01,2,15-1299.03,0.8638511518015358
graph,transferable_skills,15-2051.01,3,19-3092.00,0.8617412630288168
graph,transferable_skills,15-1242.00,1,15-1299.01,0.8888063397721644
graph,transferable_skills,15-1242.00,2,19-2099.01,0.880701754385965
graph,transferable_skills,15-1242.00,3,15-1243.00,0.8561099060014461
graph,transferable_skills,15-1243.00,1,15-1299.07,0.8787584869059164
graph,transferable_skills,15-1243.00,2,15-1221.00,0.8720930232558138
graph,transferable_skills,15-1243.00,3,19-2042.00,0.8652482269503545
graph,transferable_skills,15-1243.01,1,19-2099.01,0.8737296747967477
graph,transferable_skills,15-1243.01,2,15-1299.07,0.8628971728796596
graph,transferable_skills,15-1243.01,3,15-1243.00,0.8581595092024538
graph,transferable_skills,15-2031.00,1,15-2011.00,0.8710792131844761
graph,transferable_skills,15-2031.00,2,15-2041.01,0.8498238004879372
graph,transferable_skills,15-2031.00,3,19-3099.01,0.8485161290322579
graph,transferable_skills,15-2041.00,1,15-2021.00,0.8696782580435489
graph,transferable_skills,15-2041.00,2,15-2041.01,0.866745984533016
